year,industry,nova_scotia_wage,canada_wage,market_gap_pct
2015,"Total employees, all industries",20.43,24.04,-15.02
2015,Goods-producing sector,20.23,25.0,-19.08
2015,"Agriculture [111-112, 1100, 1151-1152]",14.0,15.38,-8.97
2015,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",22.63,36.0,-37.14
2015,Utilities [22],30.0,39.0,-23.08
2015,Construction [23],20.0,27.0,-25.93
2015,Manufacturing [31-33],20.0,22.56,-11.35
2015,Services-producing sector,20.44,24.0,-14.83
2015,"Wholesale and retail trade [41, 44-45]",15.0,18.1,-17.13
2015,Transportation and warehousing [48-49],23.0,24.0,-4.17
2015,"Finance, insurance, real estate, rental and leasing [52-53]",22.05,26.67,-17.32
2015,"Professional, scientific and technical services [54]",23.08,29.81,-22.58
2015,"Business, building and other support services [55-56]",14.0,16.59,-15.61
2015,Educational services [61],29.0,32.97,-12.04
2015,Health care and social assistance [62],22.0,23.74,-7.33
2015,"Information, culture and recreation [51, 71]",21.63,25.0,-13.48
2015,Accommodation and food services [72],12.0,13.5,-11.11
2015,Other services (except public administration) [81],17.0,20.0,-15.0
2015,Public administration [91],31.79,34.63,-8.2
2016,"Total employees, all industries",21.0,24.82,-15.39
2016,Goods-producing sector,21.63,25.2,-14.17
2016,"Agriculture [111-112, 1100, 1151-1152]",14.0,16.27,-13.95
2016,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",24.04,37.0,-35.03
2016,Utilities [22],38.0,39.0,-2.56
2016,Construction [23],20.6,27.78,-25.85
2016,Manufacturing [31-33],21.1,22.79,-7.42
2016,Services-producing sector,20.88,24.1,-13.36
2016,"Wholesale and retail trade [41, 44-45]",15.1,18.95,-20.32
2016,Transportation and warehousing [48-49],25.0,24.48,2.12
2016,"Finance, insurance, real estate, rental and leasing [52-53]",21.54,26.92,-19.99
2016,"Professional, scientific and technical services [54]",26.5,31.25,-15.2
2016,"Business, building and other support services [55-56]",13.94,16.81,-17.07
2016,Educational services [61],31.25,34.0,-8.09
2016,Health care and social assistance [62],22.0,24.04,-8.49
2016,"Information, culture and recreation [51, 71]",22.6,25.0,-9.6
2016,Accommodation and food services [72],12.6,14.0,-10.0
2016,Other services (except public administration) [81],18.24,20.0,-8.8
2016,Public administration [91],31.43,35.0,-10.2
2017,"Total employees, all industries",21.63,25.0,-13.48
2017,Goods-producing sector,22.5,25.85,-12.96
2017,"Agriculture [111-112, 1100, 1151-1152]",15.0,16.5,-9.09
2017,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",24.5,38.0,-35.53
2017,Utilities [22],37.02,40.96,-9.62
2017,Construction [23],22.5,28.0,-19.64
2017,Manufacturing [31-33],21.0,23.0,-8.7
2017,Services-producing sector,21.5,24.75,-13.13
2017,"Wholesale and retail trade [41, 44-45]",16.0,19.98,-19.92
2017,Transportation and warehousing [48-49],22.85,25.0,-8.6
2017,"Finance, insurance, real estate, rental and leasing [52-53]",23.31,27.88,-16.39
2017,"Professional, scientific and technical services [54]",26.44,30.77,-14.07
2017,"Business, building and other support services [55-56]",14.42,17.2,-16.16
2017,Educational services [61],32.0,33.65,-4.9
2017,Health care and social assistance [62],22.0,24.59,-10.53
2017,"Information, culture and recreation [51, 71]",20.19,25.0,-19.24
2017,Accommodation and food services [72],13.0,14.0,-7.14
2017,Other services (except public administration) [81],18.77,20.0,-6.15
2017,Public administration [91],33.0,34.87,-5.36
2018,"Total employees, all industries",22.0,25.0,-12.0
2018,Goods-producing sector,23.0,26.0,-11.54
2018,"Agriculture [111-112, 1100, 1151-1152]",15.5,17.75,-12.68
2018,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",25.0,38.0,-34.21
2018,Utilities [22],37.36,42.31,-11.7
2018,Construction [23],21.0,28.0,-25.0
2018,Manufacturing [31-33],23.5,23.5,0.0
2018,Services-producing sector,21.63,25.0,-13.48
2018,"Wholesale and retail trade [41, 44-45]",16.24,19.85,-18.19
2018,Transportation and warehousing [48-49],22.81,25.0,-8.76
2018,"Finance, insurance, real estate, rental and leasing [52-53]",22.56,29.12,-22.53
2018,"Professional, scientific and technical services [54]",27.16,31.25,-13.09
2018,"Business, building and other support services [55-56]",14.0,18.07,-22.52
2018,Educational services [61],33.65,34.07,-1.23
2018,Health care and social assistance [62],23.0,24.8,-7.26
2018,"Information, culture and recreation [51, 71]",21.98,26.0,-15.46
2018,Accommodation and food services [72],13.25,15.0,-11.67
2018,Other services (except public administration) [81],17.72,21.0,-15.62
2018,Public administration [91],34.62,35.9,-3.57
2019,"Total employees, all industries",22.12,26.0,-14.92
2019,Goods-producing sector,23.0,27.0,-14.81
2019,"Agriculture [111-112, 1100, 1151-1152]",16.95,18.0,-5.83
2019,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",25.0,38.1,-34.38
2019,Utilities [22],35.42,43.0,-17.63
2019,Construction [23],22.31,29.0,-23.07
2019,Manufacturing [31-33],23.0,24.4,-5.74
2019,Services-producing sector,22.0,25.96,-15.25
2019,"Wholesale and retail trade [41, 44-45]",17.09,20.0,-14.55
2019,Transportation and warehousing [48-49],24.0,25.0,-4.0
2019,"Finance, insurance, real estate, rental and leasing [52-53]",24.18,29.87,-19.05
2019,"Professional, scientific and technical services [54]",27.69,32.97,-16.01
2019,"Business, building and other support services [55-56]",15.0,19.0,-21.05
2019,Educational services [61],29.15,34.25,-14.89
2019,Health care and social assistance [62],23.65,25.0,-5.4
2019,"Information, culture and recreation [51, 71]",20.88,26.44,-21.03
2019,Accommodation and food services [72],13.78,15.7,-12.23
