year,noc_code,Occupation,nova_scotia_wage,canada_wage,market_gap_pct
2015,111,Professional occupations in finance,26.68,32.19,-17.12
2015,112,Professional occupations in business,26.92,32.69,-17.65
2015,211,Professional occupations in natural sciences,33.33,35.9,-7.16
2015,212,Professional occupations in applied sciences (except engineering),33.65,36.41,-7.58
2015,213,Professional occupations in engineering,38.05,41.21,-7.67
2015,311,Health treating and consultation services professionals,38.84,41.42,-6.23
2015,312,Therapy and assessment professionals,34.0,37.0,-8.11
2015,313,Nursing and allied health professionals,36.0,37.38,-3.69
2015,411,Professional occupations in law,36.06,48.08,-25.0
2015,412,Professional occupations in education services,34.07,37.02,-7.97
2015,413,Professional occupations in social and community services,31.25,30.0,4.17
2015,414,Professional occupations in government services,33.0,35.38,-6.73
2015,421,Occupations in front-line public protection services,39.0,40.87,-4.58
2015,422,"Paraprofessional occupations in legal, social, community and education services",17.5,20.0,-12.5
2016,111,Professional occupations in finance,28.46,32.18,-11.56
2016,112,Professional occupations in business,28.85,33.08,-12.79
2016,211,Professional occupations in natural sciences,33.08,37.0,-10.59
2016,212,Professional occupations in applied sciences (except engineering),33.65,38.46,-12.51
2016,213,Professional occupations in engineering,37.95,41.03,-7.51
2016,311,Health treating and consultation services professionals,36.5,40.58,-10.05
2016,312,Therapy and assessment professionals,38.5,38.0,1.32
2016,313,Nursing and allied health professionals,37.0,38.0,-2.63
2016,411,Professional occupations in law,37.95,45.67,-16.9
2016,412,Professional occupations in education services,37.26,38.77,-3.89
2016,413,Professional occupations in social and community services,28.21,30.29,-6.87
2016,414,Professional occupations in government services,32.97,36.41,-9.45
2016,421,Occupations in front-line public protection services,40.38,41.68,-3.12
2016,422,"Paraprofessional occupations in legal, social, community and education services",18.96,19.71,-3.81
2017,111,Professional occupations in finance,27.69,31.52,-12.15
2017,112,Professional occupations in business,26.15,33.0,-20.76
2017,211,Professional occupations in natural sciences,33.0,36.06,-8.49
2017,212,Professional occupations in applied sciences (except engineering),33.65,37.65,-10.62
2017,213,Professional occupations in engineering,40.0,40.87,-2.13
2017,311,Health treating and consultation services professionals,39.0,40.87,-4.58
2017,312,Therapy and assessment professionals,35.71,38.0,-6.03
2017,313,Nursing and allied health professionals,38.0,38.7,-1.81
