noc_code,Occupation,nova_scotia_wage,canada_wage,market_gap_pct,market_position,ns_growth_pct_x,canada_growth_pct_x,growth_difference_x,ns_growth_pct_y,canada_growth_pct_y,growth_difference_y,compensation_priority
111,Professional occupations in finance,36.2,43.0,-15.81,Below Market,35.68,33.58,2.1,35.68,33.58,2.1,High Priority
112,Professional occupations in business,40.64,41.41,-1.86,Near Market,50.97,26.67,24.3,50.97,26.67,24.3,Lower Priority
211,Professional occupations in natural sciences,40.85,44.87,-8.96,Below Market,22.56,24.99,-2.43,22.56,24.99,-2.43,Moderate Priority
212,Professional occupations in applied sciences (except engineering),46.04,50.48,-8.8,Below Market,36.82,38.64,-1.82,36.82,38.64,-1.82,Moderate Priority
213,Professional occupations in engineering,48.06,52.0,-7.58,Below Market,26.31,26.18,0.13,26.31,26.18,0.13,Moderate Priority
311,Health treating and consultation services professionals,52.5,51.0,2.94,Near Market,35.17,23.13,12.04,35.17,23.13,12.04,Lower Priority
312,Therapy and assessment professionals,46.63,49.0,-4.84,Near Market,37.15,32.43,4.72,37.15,32.43,4.72,Lower Priority
313,Nursing and allied health professionals,48.0,46.0,4.35,Near Market,33.33,23.06,10.27,33.33,23.06,10.27,Lower Priority
411,Professional occupations in law,74.52,62.5,19.23,Above Market,106.66,29.99,76.67,106.66,29.99,76.67,Lower Priority
412,Professional occupations in education services,43.27,47.84,-9.55,Below Market,27.0,29.23,-2.23,27.0,29.23,-2.23,Moderate Priority
413,Professional occupations in social and community services,36.06,40.0,-9.85,Below Market,15.39,33.33,-17.94,15.39,33.33,-17.94,Moderate Priority
414,Professional occupations in government services,43.94,46.15,-4.79,Near Market,33.15,30.44,2.71,33.15,30.44,2.71,Lower Priority
421,Occupations in front-line public protection services,48.08,50.42,-4.64,Near Market,23.28,23.37,-0.09,23.28,23.37,-0.09,Lower Priority
422,"Paraprofessional occupations in legal, social, community and education services",27.0,26.92,0.3,Near Market,54.29,34.6,19.69,54.29,34.6,19.69,Lower Priority
